"教材ID","教材シリーズ名","教材種別","対象","科目","提供","提供URL","URL","備考"
"1","ふくいわくわく授業","動画",,,"福井県","https://www.pref.fukui.lg.jp/doc/kyousei/learning_video.html","https://code4fukui.github.io/timetable/data/spreadsheet/data1.csv","新型コロナウイルスの感染防止拡大のため臨時休校が続いている小・中学生および高校生の家庭学習を支援するため、県独自の学習動画を配信します！当サイトの動画の無断の複製・転用はご遠慮ください。"
"2","PCNチャンネル","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://code4fukui.github.io/timetable/data/spreadsheet/data2.csv","プログラミング・電子工作特集！この春にプログラミングや電子工作に挑戦してみませんか？"
"3","イマギッシュとプログラミングをやってみよう","動画","小中学生","プログラミング","PCN","https://pcn.club/channel/","https://code4fukui.github.io/timetable/data/spreadsheet/data3.csv",
"4","おとなプログラミング入門","動画","大人","プログラミング","B Inc.","https://ichigojam.net/","https://code4fukui.github.io/timetable/data/spreadsheet/data4.csv","プログラミングやプログラミング教育に興味がある大人・教師向けの動画を公開しています"
"5","福井県教育総合研究所によるまとめ",,,,"福井県教育総合研究所","http://www.fukui-c.ed.jp/~fec/kyouzai/review.html","https://code4fukui.github.io/timetable/data/fukuicedjp.csv","福井県教育総合研究所では、休校期間中に児童、生徒の皆さんが家庭での学習に活用できる動画や教材のサイトをまとめました。休校期間中の３月、４月に学習する予定だった教科書の内容に関係する動画や教材を中心にまとめてあります。小学校１年生から中学校３年生まで各学年ごとにまとめてありますので、学年にあった動画や教材をすぐに見ることができます。インターネット回線を使うので、通信料金がかかります。中にはダウンロードが必要なものもあります。見るときはお家の人に許可をとってから見てください。"
"6","筑波大学オープンコースウェア","動画","大人",,"筑波大学","https://ocw.tsukuba.ac.jp/","https://code4fukui.github.io/timetable/data/spreadsheet/data6.csv","筑波大学オープンコースウェア（TSUKUBA OCW）は、大学と社会の新しいインターフェースを作り、大学が取り組んでいる新しい知の在り方を社会に問うていくことを目的とした、教育コンテンツを提供するプラットフォームです。"
"7","東京大学オープンコースウェア","動画","大人",,"東京大学","https://ocwx.ocw.u-tokyo.ac.jp/","https://code4fukui.github.io/timetable/data/spreadsheet/data7.csv","本サイトは、東京大学で2005年度から取り組んできたオープンコースウェア事業（UTokyo OCW）で制作された講義コンテンツなどをもとに、新しい形式でオンライン教育コンテンツを提供します。 本サイトで公開するコンテンツは、これまでUTokyo OCWに掲載してきた東京大学の正規講義、および東京大学がおすすめする他大学のOCWコンテンツをより学びやすく再編集したものです。 OCWコンテンツを基にすることにより、講義としての質の高さを維持し、場所や時間を選ばない、より学びやすいツールとしただけでなく、確認問題などの学習課題も提供します。このような形をとることによって、より広い人々に東京大学その他の講義を体験していただきたいと考えています。"
"8","元先生による家庭学習教材1","動画",,,"株式会社サカワ","https://www.youtube.com/channel/UC_EFBsL6yzVGPhe9FydoCvQ","https://code4fukui.github.io/timetable/data/spreadsheet/data8.csv","Kocri（コクリ）-教材オープンデータ"
"9","京都教育大学の学生製作補助教材","動画",,,"京都教育大学","https://www.kyokyo-u.ac.jp/movie/post.html#1","https://code4fukui.github.io/timetable/data/spreadsheet/data9.csv","本学学生が作成した小・中・高校生向けの補助教材動画で、学校現場や家庭学習にお使いいただけます。また、日本に在住する外国人の子どもたちの学習をサポートする多言語対応版の動画も配信しています。"
"10","水戸市の先生による学習教材","動画",,,"水戸市教育総合研究所","http://www.magokoro.ed.jp/","https://code4fukui.github.io/timetable/data/spreadsheet/data10.csv","このページは、各学校の先生方のご協力により作成された動画や資料などのコンテンツを集めたものです。ご協力いただいた先生方には、大変感謝しております。"
"11","国立国語研究所 言語学レクチャーシリーズ（試験版）","動画","大人","国語","国立言語学研究所","https://www.youtube.com/playlist?list=PLZfZgVvFbh1a3zOK9Z2OJk6mA0olmcw3u","https://code4fukui.github.io/timetable/data/spreadsheet/data11.csv","大学生～大学院生を主な対象とした，言語学の基礎を学ぶことができる動画教材シリーズです。試験版ですがぜひご活用ください。"
"12","ヤマハデジタル音楽教材（5/6まで）","動画",,"音楽","ヤマハ株式会社","https://ses.yamaha.com/special/gift-digital/","https://code4fukui.github.io/timetable/data/spreadsheet/data12.csv","新型コロナウイルス感染拡大防止の外出自粛要請に伴い、2020年5月6日までの期間において弊社デジタル音楽教材の一部を無料でご提供することにいたしました。自宅や学校、学童保育等での「学び」をサポートする教材としてぜひご活用ください。"
"13","さいたま市学習支援コンテンツ","動画",,,"さいたま市","https://www.youtube.com/watch?v=2nvABLiqgKA&list=PLhOpFff6DKIkPLwurIS8cnVUw6-_FkXXj","https://code4fukui.github.io/timetable/data/saitamacity/index.csv",
"14","深圳の産業集積とマスイノベーション","動画","大人","MBA","高須正和","https://docs.google.com/spreadsheets/d/1nIlN6ldxTCLnmYX_DUv6oXf7HCQni_YTPZjW5pXO_as/edit#gid=0","https://code4fukui.github.io/timetable/data/massinnovation-takasu.csv",
"15","おっぱっぴー小学校開校！海パン先生爆誕！","動画","小学生",,,"https://www.youtube.com/channel/UC-46-Tim9-pbw6BfG6bBnmA","https://code4fukui.github.io/timetable/data/kojimayoshio/index.csv","休校中の全国の小学生をコロナから救う！？早稲田大学教育学部出身(教員免許なし) の小島よしおが塾とタッグを組んで体を張って授業にチャレンジ！海パン先生ここに爆誕！ 監修　進学個別桜学舎 https://www.ueno-sakuragi.com/"
